project_name,task_id,task_name,baseline_end_date,actual_finish,slip_days,severity_score,deviation_percentage,no_milestones
Updates,tsk-011,Task 011,2025-10-21,2025-11-11,28.0,10.0,81.18392992646346,False
Updates,tsk-016,Task 016,2025-07-16,2025-09-25,79.0,10.0,96.60814954471802,False
Updates,tsk-018,Task 018,2025-01-19,2025-02-11,23.0,10.0,78.30739345990621,False
Updates,tsk-023,Task 023,2025-01-30,2025-01-30,8.0,8.0,63.39848783037637,False
Updates,tsk-025,Task 025,2025-06-21,NA,80.0,10.0,96.79697566075274,False
Updates,tsk-026,Task 026,2025-07-25,2025-08-14,25.0,10.0,79.52406717897863,False
Updates,tsk-036,Task 036,2025-08-29,2025-10-01,33.0,10.0,83.60176209647892,False
Updates,tsk-045,Task 045,2025-05-23,2025-05-21,-2.0,0.0,1.0,False
Updates,tsk-047,Task 047,2025-05-30,2025-06-12,13.0,10.0,70.11448124873831,False
Updates,tsk-049,Task 049,2025-05-21,2025-06-18,28.0,10.0,81.18392992646346,False
Updates,tsk-052,Task 052,2025-10-12,NA,3.0,8.0,22.857142857142854,False
Updates,tsk-055,Task 055,2025-01-22,2025-01-23,1.0,1.0,14.285714285714285,False
Updates,tsk-064,Task 064,2025-07-10,2025-08-11,32.0,10.0,83.14798789572606,False
Updates,tsk-065,Task 065,2025-02-24,2025-03-16,26.0,10.0,80.09773174556454,False
Updates,tsk-066,Task 066,2024-12-07,2024-12-05,-2.0,0.0,1.0,False
Updates,tsk-067,Task 067,2025-04-24,2025-05-25,24.0,10.0,78.92790030352131,False
Updates,tsk-072,Task 072,2025-08-09,2025-09-01,23.0,10.0,78.30739345990621,False
Updates,tsk-011,Task 011,2025-10-21,2025-11-18,28.0,10.0,81.18392992646346,False
Updates,tsk-016,Task 016,2025-07-16,2025-10-03,79.0,10.0,96.60814954471802,False
Updates,tsk-018,Task 018,2025-01-19,2025-02-11,23.0,10.0,78.30739345990621,False
Updates,tsk-023,Task 023,2025-01-30,2025-01-30,8.0,8.0,63.39848783037637,False
Updates,tsk-025,Task 025,2025-06-21,2025-09-09,80.0,10.0,96.79697566075274,False
Updates,tsk-026,Task 026,2025-07-25,2025-08-14,25.0,10.0,79.52406717897863,False
Updates,tsk-036,Task 036,2025-08-29,2025-10-01,33.0,10.0,83.60176209647892,False
Updates,tsk-045,Task 045,2025-05-23,2025-05-21,-2.0,0.0,1.0,False
Updates,tsk-047,Task 047,2025-05-30,2025-06-12,13.0,10.0,70.11448124873831,False
Updates,tsk-049,Task 049,2025-05-21,2025-06-18,28.0,10.0,81.18392992646346,False
Updates,tsk-052,Task 052,2025-10-12,2025-10-15,3.0,8.0,22.857142857142854,False
Updates,tsk-055,Task 055,2025-01-22,2025-01-23,1.0,1.0,14.285714285714285,False
Updates,tsk-064,Task 064,2025-07-10,2025-08-11,32.0,10.0,83.14798789572606,False
Updates,tsk-065,Task 065,2025-02-24,2025-03-22,26.0,10.0,80.09773174556454,False
Updates,tsk-066,Task 066,2024-12-07,2024-12-05,-2.0,0.0,1.0,False
Updates,tsk-067,Task 067,2025-04-24,2025-05-18,24.0,10.0,78.92790030352131,False
Updates,tsk-072,Task 072,2025-08-09,2025-09-01,23.0,10.0,78.30739345990621,False
Updates,tsk-011,Task 011,2025-10-21,2025-11-18,28.0,10.0,81.18392992646346,False
Updates,tsk-016,Task 016,2025-07-16,2025-10-03,79.0,10.0,96.60814954471802,False
Updates,tsk-018,Task 018,2025-01-19,2025-02-11,23.0,10.0,78.30739345990621,False
Updates,tsk-023,Task 023,2025-01-30,2025-02-07,8.0,8.0,63.39848783037637,False
Updates,tsk-025,Task 025,2025-06-21,2025-09-09,80.0,10.0,96.79697566075274,False
Updates,tsk-026,Task 026,2025-07-25,2025-08-19,25.0,10.0,79.52406717897863,False
Updates,tsk-036,Task 036,2025-08-29,2025-10-01,33.0,10.0,83.60176209647892,False
Updates,tsk-045,Task 045,2025-05-23,2025-05-21,-2.0,0.0,1.0,False
Updates,tsk-047,Task 047,2025-05-30,2025-06-12,13.0,10.0,70.11448124873831,False
Updates,tsk-049,Task 049,2025-05-21,2025-06-18,28.0,10.0,81.18392992646346,False
Updates,tsk-052,Task 052,2025-10-12,2025-10-15,3.0,8.0,22.857142857142854,False
Updates,tsk-055,Task 055,2025-01-22,2025-01-23,1.0,1.0,14.285714285714285,False
Updates,tsk-064,Task 064,2025-07-10,2025-08-11,32.0,10.0,83.14798789572606,False
Updates,tsk-065,Task 065,2025-02-24,2025-03-22,26.0,10.0,80.09773174556454,False
Updates,tsk-066,Task 066,2024-12-07,2024-12-05,-2.0,0.0,1.0,False
Updates,tsk-067,Task 067,2025-04-24,2025-05-18,24.0,10.0,78.92790030352131,False
Updates,tsk-072,Task 072,2025-08-09,2025-09-01,23.0,10.0,78.30739345990621,False
Updates,tsk-011,Task 011,2025-10-21,2025-11-11,28.0,10.0,81.18392992646346,False
Updates,tsk-016,Task 016,2025-07-16,2025-10-03,79.0,10.0,96.60814954471802,False
Updates,tsk-018,Task 018,2025-01-19,2025-02-11,23.0,10.0,78.30739345990621,False
Updates,tsk-023,Task 023,2025-01-30,2025-01-30,8.0,8.0,63.39848783037637,False
Updates,tsk-025,Task 025,2025-06-21,NA,80.0,10.0,96.79697566075274,False
Updates,tsk-026,Task 026,2025-07-25,2025-08-14,25.0,10.0,79.52406717897863,False
Updates,tsk-036,Task 036,2025-08-29,2025-10-01,33.0,10.0,83.60176209647892,False
Updates,tsk-045,Task 045,2025-05-23,2025-05-21,-2.0,0.0,1.0,False
Updates,tsk-047,Task 047,2025-05-30,2025-06-12,13.0,10.0,70.11448124873831,False
Updates,tsk-049,Task 049,2025-05-21,2025-06-18,28.0,10.0,81.18392992646346,False
Updates,tsk-052,Task 052,2025-10-12,NA,3.0,8.0,22.857142857142854,False
Updates,tsk-055,Task 055,2025-01-22,2025-01-23,1.0,1.0,14.285714285714285,False
Updates,tsk-064,Task 064,2025-07-10,2025-08-11,32.0,10.0,83.14798789572606,False
Updates,tsk-065,Task 065,2025-02-24,2025-03-22,26.0,10.0,80.09773174556454,False
Updates,tsk-066,Task 066,2024-12-07,2024-12-05,-2.0,0.0,1.0,False
Updates,tsk-067,Task 067,2025-04-24,2025-05-25,24.0,10.0,78.92790030352131,False
Updates,tsk-072,Task 072,2025-08-09,2025-09-01,23.0,10.0,78.30739345990621,False
Updates,tsk-011,Task 011,2025-10-21,2025-11-18,28.0,10.0,81.18392992646346,False
Updates,tsk-016,Task 016,2025-07-16,2025-10-03,79.0,10.0,96.60814954471802,False
Updates,tsk-018,Task 018,2025-01-19,2025-02-11,23.0,10.0,78.30739345990621,False
Updates,tsk-023,Task 023,2025-01-30,2025-01-30,8.0,8.0,63.39848783037637,False
Updates,tsk-025,Task 025,2025-06-21,2025-09-09,80.0,10.0,96.79697566075274,False
Updates,tsk-026,Task 026,2025-07-25,2025-08-14,25.0,10.0,79.52406717897863,False
Updates,tsk-036,Task 036,2025-08-29,2025-10-01,33.0,10.0,83.60176209647892,False
Updates,tsk-045,Task 045,2025-05-23,2025-05-21,-2.0,0.0,1.0,False
Updates,tsk-047,Task 047,2025-05-30,2025-06-12,13.0,10.0,70.11448124873831,False
Updates,tsk-049,Task 049,2025-05-21,2025-06-18,28.0,10.0,81.18392992646346,False
Updates,tsk-052,Task 052,2025-10-12,2025-10-15,3.0,8.0,22.857142857142854,False
Updates,tsk-055,Task 055,2025-01-22,2025-01-23,1.0,1.0,14.285714285714285,False
Updates,tsk-064,Task 064,2025-07-10,2025-08-11,32.0,10.0,83.14798789572606,False
Updates,tsk-065,Task 065,2025-02-24,2025-03-22,26.0,10.0,80.09773174556454,False
Updates,tsk-066,Task 066,2024-12-07,2024-12-05,-2.0,0.0,1.0,False
Updates,tsk-067,Task 067,2025-04-24,2025-05-18,24.0,10.0,78.92790030352131,False
Updates,tsk-072,Task 072,2025-08-09,2025-09-01,23.0,10.0,78.30739345990621,False
Updates,tsk-011,Task 011,2025-10-21,2025-11-11,28.0,10.0,81.18392992646346,False
Updates,tsk-016,Task 016,2025-07-16,2025-09-25,79.0,10.0,96.60814954471802,False
Updates,tsk-018,Task 018,2025-01-19,2025-02-11,23.0,10.0,78.30739345990621,False
Updates,tsk-023,Task 023,2025-01-30,2025-01-30,8.0,8.0,63.39848783037637,False
Updates,tsk-025,Task 025,2025-06-21,NA,80.0,10.0,96.79697566075274,False
Updates,tsk-026,Task 026,2025-07-25,2025-08-14,25.0,10.0,79.52406717897863,False
Updates,tsk-036,Task 036,2025-08-29,2025-10-01,33.0,10.0,83.60176209647892,False
Updates,tsk-045,Task 045,2025-05-23,2025-05-21,-2.0,0.0,1.0,False
Updates,tsk-047,Task 047,2025-05-30,2025-06-12,13.0,10.0,70.11448124873831,False
Updates,tsk-049,Task 049,2025-05-21,2025-06-15,28.0,10.0,81.18392992646346,False
Updates,tsk-052,Task 052,2025-10-12,NA,3.0,8.0,22.857142857142854,False
Updates,tsk-055,Task 055,2025-01-22,2025-01-23,1.0,1.0,14.285714285714285,False
Updates,tsk-064,Task 064,2025-07-10,2025-08-11,32.0,10.0,83.14798789572606,False
Updates,tsk-065,Task 065,2025-02-24,NA,26.0,10.0,80.09773174556454,False
Updates,tsk-066,Task 066,2024-12-07,2024-12-05,-2.0,0.0,1.0,False
Updates,tsk-067,Task 067,2025-04-24,2025-05-25,24.0,10.0,78.92790030352131,False
Updates,tsk-072,Task 072,2025-08-09,2025-09-01,23.0,10.0,78.30739345990621,False
Updates,tsk-011,Task 011,2025-10-21,2025-11-11,28.0,10.0,81.18392992646346,False
Updates,tsk-016,Task 016,2025-07-16,2025-09-25,79.0,10.0,96.60814954471802,False
Updates,tsk-018,Task 018,2025-01-19,NA,23.0,10.0,78.30739345990621,False
Updates,tsk-023,Task 023,2025-01-30,2025-01-30,8.0,8.0,63.39848783037637,False
Updates,tsk-025,Task 025,2025-06-21,NA,80.0,10.0,96.79697566075274,False
Updates,tsk-026,Task 026,2025-07-25,NA,25.0,10.0,79.52406717897863,False
Updates,tsk-036,Task 036,2025-08-29,2025-10-01,33.0,10.0,83.60176209647892,False
Updates,tsk-045,Task 045,2025-05-23,2025-05-19,-2.0,0.0,1.0,False
Updates,tsk-047,Task 047,2025-05-30,2025-06-12,13.0,10.0,70.11448124873831,False
Updates,tsk-049,Task 049,2025-05-21,2025-06-15,28.0,10.0,81.18392992646346,False
Updates,tsk-052,Task 052,2025-10-12,NA,3.0,8.0,22.857142857142854,False
Updates,tsk-055,Task 055,2025-01-22,2025-01-23,1.0,1.0,14.285714285714285,False
Updates,tsk-064,Task 064,2025-07-10,2025-08-11,32.0,10.0,83.14798789572606,False
Updates,tsk-065,Task 065,2025-02-24,NA,26.0,10.0,80.09773174556454,False
Updates,tsk-066,Task 066,2024-12-07,2024-12-05,-2.0,0.0,1.0,False
Updates,tsk-067,Task 067,2025-04-24,2025-05-25,24.0,10.0,78.92790030352131,False
Updates,tsk-072,Task 072,2025-08-09,2025-09-01,23.0,10.0,78.30739345990621,False
Updates,tsk-011,Task 011,2025-10-21,2025-11-18,28.0,10.0,81.18392992646346,False
Updates,tsk-016,Task 016,2025-07-16,2025-10-03,79.0,10.0,96.60814954471802,False
Updates,tsk-018,Task 018,2025-01-19,2025-02-11,23.0,10.0,78.30739345990621,False
Updates,tsk-023,Task 023,2025-01-30,2025-02-07,8.0,8.0,63.39848783037637,False
Updates,tsk-025,Task 025,2025-06-21,2025-09-09,80.0,10.0,96.79697566075274,False
Updates,tsk-026,Task 026,2025-07-25,2025-08-19,25.0,10.0,79.52406717897863,False
Updates,tsk-036,Task 036,2025-08-29,2025-10-01,33.0,10.0,83.60176209647892,False
Updates,tsk-045,Task 045,2025-05-23,2025-05-21,-2.0,0.0,1.0,False
Updates,tsk-047,Task 047,2025-05-30,2025-06-12,13.0,10.0,70.11448124873831,False
Updates,tsk-049,Task 049,2025-05-21,2025-06-18,28.0,10.0,81.18392992646346,False
Updates,tsk-052,Task 052,2025-10-12,2025-10-15,3.0,8.0,22.857142857142854,False
Updates,tsk-055,Task 055,2025-01-22,2025-01-23,1.0,1.0,14.285714285714285,False
Updates,tsk-064,Task 064,2025-07-10,2025-08-11,32.0,10.0,83.14798789572606,False
Updates,tsk-065,Task 065,2025-02-24,2025-03-22,26.0,10.0,80.09773174556454,False
Updates,tsk-066,Task 066,2024-12-07,2024-12-05,-2.0,0.0,1.0,False
Updates,tsk-067,Task 067,2025-04-24,2025-05-18,24.0,10.0,78.92790030352131,False
Updates,tsk-072,Task 072,2025-08-09,2025-09-01,23.0,10.0,78.30739345990621,False
Updates,tsk-011,Task 011,2025-10-21,NA,28.0,10.0,81.18392992646346,False
Updates,tsk-016,Task 016,2025-07-16,NA,79.0,10.0,96.60814954471802,False
Updates,tsk-018,Task 018,2025-01-19,NA,23.0,10.0,78.30739345990621,False
Updates,tsk-023,Task 023,2025-01-30,NA,8.0,8.0,63.39848783037637,False
Updates,tsk-025,Task 025,2025-06-21,NA,80.0,10.0,96.79697566075274,False
Updates,tsk-026,Task 026,2025-07-25,NA,25.0,10.0,79.52406717897863,False
Updates,tsk-036,Task 036,2025-08-29,NA,33.0,10.0,83.60176209647892,False
Updates,tsk-045,Task 045,2025-05-23,NA,-2.0,0.0,1.0,False
Updates,tsk-047,Task 047,2025-05-30,NA,13.0,10.0,70.11448124873831,False
Updates,tsk-049,Task 049,2025-05-21,NA,28.0,10.0,81.18392992646346,False
Updates,tsk-052,Task 052,2025-10-12,NA,3.0,8.0,22.857142857142854,False
Updates,tsk-055,Task 055,2025-01-22,NA,1.0,1.0,14.285714285714285,False
Updates,tsk-064,Task 064,2025-07-10,NA,32.0,10.0,83.14798789572606,False
Updates,tsk-065,Task 065,2025-02-24,NA,26.0,10.0,80.09773174556454,False
Updates,tsk-066,Task 066,2024-12-07,NA,-2.0,0.0,1.0,False
Updates,tsk-067,Task 067,2025-04-24,NA,24.0,10.0,78.92790030352131,False
Updates,tsk-072,Task 072,2025-08-09,NA,23.0,10.0,78.30739345990621,False
Updates,tsk-011,Task 011,2025-10-21,2025-11-18,28.0,10.0,81.18392992646346,False
Updates,tsk-016,Task 016,2025-07-16,2025-10-03,79.0,10.0,96.60814954471802,False
Updates,tsk-018,Task 018,2025-01-19,2025-02-11,23.0,10.0,78.30739345990621,False
Updates,tsk-023,Task 023,2025-01-30,2025-02-07,8.0,8.0,63.39848783037637,False
Updates,tsk-025,Task 025,2025-06-21,2025-09-09,80.0,10.0,96.79697566075274,False
Updates,tsk-026,Task 026,2025-07-25,2025-08-19,25.0,10.0,79.52406717897863,False
Updates,tsk-036,Task 036,2025-08-29,2025-10-01,33.0,10.0,83.60176209647892,False
Updates,tsk-045,Task 045,2025-05-23,2025-05-21,-2.0,0.0,1.0,False
Updates,tsk-047,Task 047,2025-05-30,2025-06-12,13.0,10.0,70.11448124873831,False
Updates,tsk-049,Task 049,2025-05-21,2025-06-18,28.0,10.0,81.18392992646346,False
Updates,tsk-052,Task 052,2025-10-12,2025-10-15,3.0,8.0,22.857142857142854,False
Updates,tsk-055,Task 055,2025-01-22,2025-01-23,1.0,1.0,14.285714285714285,False
Updates,tsk-064,Task 064,2025-07-10,2025-08-11,32.0,10.0,83.14798789572606,False
Updates,tsk-065,Task 065,2025-02-24,2025-03-22,26.0,10.0,80.09773174556454,False
Updates,tsk-066,Task 066,2024-12-07,2024-12-05,-2.0,0.0,1.0,False
Updates,tsk-067,Task 067,2025-04-24,2025-05-18,24.0,10.0,78.92790030352131,False
Updates,tsk-072,Task 072,2025-08-09,2025-09-01,23.0,10.0,78.30739345990621,False
Updates,tsk-011,Task 011,2025-10-21,NA,28.0,10.0,81.18392992646346,False
Updates,tsk-016,Task 016,2025-07-16,2025-09-25,79.0,10.0,96.60814954471802,False
Updates,tsk-018,Task 018,2025-01-19,NA,23.0,10.0,78.30739345990621,False
Updates,tsk-023,Task 023,2025-01-30,NA,8.0,8.0,63.39848783037637,False
Updates,tsk-025,Task 025,2025-06-21,NA,80.0,10.0,96.79697566075274,False
Updates,tsk-026,Task 026,2025-07-25,NA,25.0,10.0,79.52406717897863,False
Updates,tsk-036,Task 036,2025-08-29,NA,33.0,10.0,83.60176209647892,False
Updates,tsk-045,Task 045,2025-05-23,2025-05-19,-2.0,0.0,1.0,False
Updates,tsk-047,Task 047,2025-05-30,NA,13.0,10.0,70.11448124873831,False
Updates,tsk-049,Task 049,2025-05-21,2025-06-15,28.0,10.0,81.18392992646346,False
Updates,tsk-052,Task 052,2025-10-12,NA,3.0,8.0,22.857142857142854,False
Updates,tsk-055,Task 055,2025-01-22,2025-01-23,1.0,1.0,14.285714285714285,False
Updates,tsk-064,Task 064,2025-07-10,2025-08-11,32.0,10.0,83.14798789572606,False
Updates,tsk-065,Task 065,2025-02-24,NA,26.0,10.0,80.09773174556454,False
Updates,tsk-066,Task 066,2024-12-07,2024-12-05,-2.0,0.0,1.0,False
Updates,tsk-067,Task 067,2025-04-24,2025-05-25,24.0,10.0,78.92790030352131,False
Updates,tsk-072,Task 072,2025-08-09,2025-09-01,23.0,10.0,78.30739345990621,False
Updates,tsk-011,Task 011,2025-10-21,NA,28.0,10.0,81.18392992646346,False
Updates,tsk-016,Task 016,2025-07-16,NA,79.0,10.0,96.60814954471802,False
Updates,tsk-018,Task 018,2025-01-19,NA,23.0,10.0,78.30739345990621,False
Updates,tsk-023,Task 023,2025-01-30,NA,8.0,8.0,63.39848783037637,False
Updates,tsk-025,Task 025,2025-06-21,NA,80.0,10.0,96.79697566075274,False
Updates,tsk-026,Task 026,2025-07-25,NA,25.0,10.0,79.52406717897863,False
Updates,tsk-036,Task 036,2025-08-29,NA,33.0,10.0,83.60176209647892,False
Updates,tsk-045,Task 045,2025-05-23,2025-05-19,-2.0,0.0,1.0,False
Updates,tsk-047,Task 047,2025-05-30,NA,13.0,10.0,70.11448124873831,False
Updates,tsk-049,Task 049,2025-05-21,2025-06-15,28.0,10.0,81.18392992646346,False
Updates,tsk-052,Task 052,2025-10-12,NA,3.0,8.0,22.857142857142854,False
Updates,tsk-055,Task 055,2025-01-22,NA,1.0,1.0,14.285714285714285,False
Updates,tsk-064,Task 064,2025-07-10,2025-08-11,32.0,10.0,83.14798789572606,False
Updates,tsk-065,Task 065,2025-02-24,NA,26.0,10.0,80.09773174556454,False
Updates,tsk-066,Task 066,2024-12-07,2024-12-05,-2.0,0.0,1.0,False
Updates,tsk-067,Task 067,2025-04-24,2025-05-25,24.0,10.0,78.92790030352131,False
Updates,tsk-072,Task 072,2025-08-09,2025-09-01,23.0,10.0,78.30739345990621,False
