project_name,task_id,task_name,baseline_end_date,actual_finish,slip_days,severity_score,deviation_percentage,no_milestones
Alpha,tsk-035,Task 035,2025-11-21,2025-12-15,33.0,10.0,83.60176209647892,False
Alpha,tsk-036,Task 036,2025-07-13,2025-09-10,59.0,10.0,92.23529376342752,False
Alpha,tsk-040,Task 040,2025-11-03,2025-10-30,-4.0,1.0,2.0,False
Alpha,tsk-051,Task 051,2025-11-29,2026-01-23,55.0,10.0,91.18658094521702,False
Alpha,tsk-053,Task 053,2025-07-15,2025-08-07,23.0,10.0,78.30739345990621,False
Alpha,tsk-054,Task 054,2025-10-01,2025-10-25,24.0,10.0,78.92790030352131,False
Alpha,tsk-056,Task 056,2025-01-18,2025-02-01,83.0,10.0,97.34977501216585,False
Alpha,tsk-067,Task 067,2025-02-16,2025-02-16,5.0,5.0,31.42857142857143,False
Alpha,tsk-068,Task 068,2025-07-15,2025-08-24,40.0,10.0,86.44743498519074,False
Alpha,tsk-070,Task 070,2025-01-27,2025-03-24,56.0,10.0,91.45561994853719,False
Alpha,tsk-071,Task 071,2025-02-02,2025-02-23,21.0,10.0,76.98479382877721,False
Alpha,tsk-073,Task 073,2025-10-23,2025-10-25,2.0,2.0,18.57142857142857,False
Alpha,tsk-007,Task 007,NA,NA,134.0,10.0,100.0,False
Alpha,tsk-013,Task 013,NA,NA,56.0,10.0,91.45561994853719,False
Alpha,tsk-014,Task 014,NA,NA,38.0,10.0,85.68726124592746,False
Alpha,tsk-016,Task 016,NA,NA,52.0,10.0,90.3496554360276,False
Alpha,tsk-017,Task 017,NA,NA,23.0,10.0,78.30739345990621,False
Alpha,tsk-020,Task 020,NA,NA,-5.0,0.0,2.5,False
Alpha,tsk-035,Task 035,NA,NA,33.0,10.0,83.60176209647892,False
Alpha,tsk-036,Task 036,NA,NA,59.0,10.0,92.23529376342752,False
Alpha,tsk-040,Task 040,NA,NA,-4.0,1.0,2.0,False
Alpha,tsk-051,Task 051,NA,NA,55.0,10.0,91.18658094521702,False
Alpha,tsk-053,Task 053,NA,NA,23.0,10.0,78.30739345990621,False
Alpha,tsk-054,Task 054,NA,NA,24.0,10.0,78.92790030352131,False
Alpha,tsk-056,Task 056,NA,NA,83.0,10.0,97.34977501216585,False
Alpha,tsk-067,Task 067,NA,NA,5.0,5.0,31.42857142857143,False
Alpha,tsk-068,Task 068,NA,NA,40.0,10.0,86.44743498519074,False
Alpha,tsk-070,Task 070,NA,NA,56.0,10.0,91.45561994853719,False
Alpha,tsk-071,Task 071,NA,NA,21.0,10.0,76.98479382877721,False
Alpha,tsk-073,Task 073,NA,NA,2.0,2.0,18.57142857142857,False
Alpha,tsk-007,Task 007,2025-05-27,2025-08-22,134.0,10.0,100.0,False
Alpha,tsk-013,Task 013,2025-04-02,2025-05-21,56.0,10.0,91.45561994853719,False
Alpha,tsk-014,Task 014,2025-03-04,2025-04-11,38.0,10.0,85.68726124592746,False
Alpha,tsk-016,Task 016,2025-11-03,2025-12-25,52.0,10.0,90.3496554360276,False
Alpha,tsk-017,Task 017,2025-04-24,2025-05-17,23.0,10.0,78.30739345990621,False
Alpha,tsk-020,Task 020,2025-09-18,2025-09-13,-5.0,0.0,2.5,False
Alpha,tsk-035,Task 035,2025-11-21,2025-12-15,33.0,10.0,83.60176209647892,False
Alpha,tsk-036,Task 036,2025-07-13,2025-09-10,59.0,10.0,92.23529376342752,False
Alpha,tsk-040,Task 040,2025-11-03,2025-10-30,-4.0,1.0,2.0,False
Alpha,tsk-051,Task 051,2025-11-29,2026-01-23,55.0,10.0,91.18658094521702,False
Alpha,tsk-053,Task 053,2025-07-15,2025-08-07,23.0,10.0,78.30739345990621,False
Alpha,tsk-054,Task 054,2025-10-01,2025-10-25,24.0,10.0,78.92790030352131,False
Alpha,tsk-056,Task 056,2025-01-18,2025-04-07,83.0,10.0,97.34977501216585,False
Alpha,tsk-067,Task 067,2025-02-16,2025-02-16,5.0,5.0,31.42857142857143,False
Alpha,tsk-068,Task 068,2025-07-15,2025-08-24,40.0,10.0,86.44743498519074,False
Alpha,tsk-070,Task 070,2025-01-27,2025-03-24,56.0,10.0,91.45561994853719,False
Alpha,tsk-071,Task 071,2025-02-02,2025-02-23,21.0,10.0,76.98479382877721,False
Alpha,tsk-073,Task 073,2025-10-23,2025-10-25,2.0,2.0,18.57142857142857,False
Alpha,tsk-007,Task 007,2025-05-27,2025-07-22,134.0,10.0,100.0,False
Alpha,tsk-013,Task 013,2025-04-02,2025-05-21,56.0,10.0,91.45561994853719,False
Alpha,tsk-014,Task 014,2025-03-04,2025-04-11,38.0,10.0,85.68726124592746,False
Alpha,tsk-016,Task 016,2025-11-03,2025-12-25,52.0,10.0,90.3496554360276,False
Alpha,tsk-017,Task 017,2025-04-24,NA,23.0,10.0,78.30739345990621,False
Alpha,tsk-020,Task 020,2025-09-18,2025-09-13,-5.0,0.0,2.5,False
Alpha,tsk-035,Task 035,2025-11-21,2025-12-15,33.0,10.0,83.60176209647892,False
Alpha,tsk-036,Task 036,2025-07-13,2025-08-02,59.0,10.0,92.23529376342752,False
Alpha,tsk-040,Task 040,2025-11-03,NA,-4.0,1.0,2.0,False
Alpha,tsk-051,Task 051,2025-11-29,2026-01-20,55.0,10.0,91.18658094521702,False
Alpha,tsk-053,Task 053,2025-07-15,2025-08-07,23.0,10.0,78.30739345990621,False
Alpha,tsk-054,Task 054,2025-10-01,2025-10-25,24.0,10.0,78.92790030352131,False
Alpha,tsk-056,Task 056,2025-01-18,2025-02-01,83.0,10.0,97.34977501216585,False
Alpha,tsk-067,Task 067,2025-02-16,NA,5.0,5.0,31.42857142857143,False
Alpha,tsk-068,Task 068,2025-07-15,NA,40.0,10.0,86.44743498519074,False
Alpha,tsk-070,Task 070,2025-01-27,2025-03-24,56.0,10.0,91.45561994853719,False
Alpha,tsk-071,Task 071,2025-02-02,2025-02-23,21.0,10.0,76.98479382877721,False
Alpha,tsk-073,Task 073,2025-10-23,2025-10-25,2.0,2.0,18.57142857142857,False
Alpha,tsk-007,Task 007,2025-05-27,2025-07-22,134.0,10.0,100.0,False
Alpha,tsk-013,Task 013,2025-04-02,2025-05-21,56.0,10.0,91.45561994853719,False
Alpha,tsk-014,Task 014,2025-03-04,2025-04-11,38.0,10.0,85.68726124592746,False
Alpha,tsk-016,Task 016,2025-11-03,2025-12-25,52.0,10.0,90.3496554360276,False
Alpha,tsk-017,Task 017,2025-04-24,NA,23.0,10.0,78.30739345990621,False
Alpha,tsk-020,Task 020,2025-09-18,2025-09-13,-5.0,0.0,2.5,False
Alpha,tsk-035,Task 035,2025-11-21,2025-12-15,33.0,10.0,83.60176209647892,False
Alpha,tsk-036,Task 036,2025-07-13,2025-08-02,59.0,10.0,92.23529376342752,False
Alpha,tsk-040,Task 040,2025-11-03,NA,-4.0,1.0,2.0,False
Alpha,tsk-051,Task 051,2025-11-29,2026-01-20,55.0,10.0,91.18658094521702,False
Alpha,tsk-053,Task 053,2025-07-15,2025-08-07,23.0,10.0,78.30739345990621,False
Alpha,tsk-054,Task 054,2025-10-01,2025-10-25,24.0,10.0,78.92790030352131,False
Alpha,tsk-056,Task 056,2025-01-18,2025-02-01,83.0,10.0,97.34977501216585,False
Alpha,tsk-067,Task 067,2025-02-16,2025-02-16,5.0,5.0,31.42857142857143,False
Alpha,tsk-068,Task 068,2025-07-15,NA,40.0,10.0,86.44743498519074,False
Alpha,tsk-070,Task 070,2025-01-27,2025-03-24,56.0,10.0,91.45561994853719,False
Alpha,tsk-071,Task 071,2025-02-02,2025-02-23,21.0,10.0,76.98479382877721,False
Alpha,tsk-073,Task 073,2025-10-23,2025-10-25,2.0,2.0,18.57142857142857,False
Alpha,tsk-007,Task 007,2025-05-27,2025-08-22,134.0,10.0,100.0,False
Alpha,tsk-013,Task 013,2025-04-02,2025-05-28,56.0,10.0,91.45561994853719,False
Alpha,tsk-014,Task 014,2025-03-04,2025-04-11,38.0,10.0,85.68726124592746,False
Alpha,tsk-016,Task 016,2025-11-03,2025-12-25,52.0,10.0,90.3496554360276,False
Alpha,tsk-017,Task 017,2025-04-24,2025-05-17,23.0,10.0,78.30739345990621,False
Alpha,tsk-020,Task 020,2025-09-18,2025-09-13,-5.0,0.0,2.5,False
Alpha,tsk-035,Task 035,2025-11-21,2025-12-15,33.0,10.0,83.60176209647892,False
Alpha,tsk-036,Task 036,2025-07-13,2025-09-10,59.0,10.0,92.23529376342752,False
Alpha,tsk-040,Task 040,2025-11-03,2025-10-30,-4.0,1.0,2.0,False
Alpha,tsk-051,Task 051,2025-11-29,2026-01-23,55.0,10.0,91.18658094521702,False
Alpha,tsk-053,Task 053,2025-07-15,2025-08-07,23.0,10.0,78.30739345990621,False
Alpha,tsk-054,Task 054,2025-10-01,2025-10-25,24.0,10.0,78.92790030352131,False
Alpha,tsk-056,Task 056,2025-01-18,2025-04-07,83.0,10.0,97.34977501216585,False
Alpha,tsk-067,Task 067,2025-02-16,2025-02-16,5.0,5.0,31.42857142857143,False
Alpha,tsk-068,Task 068,2025-07-15,2025-08-24,40.0,10.0,86.44743498519074,False
Alpha,tsk-070,Task 070,2025-01-27,2025-03-24,56.0,10.0,91.45561994853719,False
Alpha,tsk-071,Task 071,2025-02-02,2025-02-23,21.0,10.0,76.98479382877721,False
Alpha,tsk-073,Task 073,2025-10-23,2025-10-25,2.0,2.0,18.57142857142857,False
Alpha,tsk-007,Task 007,2025-05-27,2025-08-22,134.0,10.0,100.0,False
Alpha,tsk-013,Task 013,2025-04-02,2025-05-28,56.0,10.0,91.45561994853719,False
Alpha,tsk-014,Task 014,2025-03-04,2025-04-11,38.0,10.0,85.68726124592746,False
Alpha,tsk-016,Task 016,2025-11-03,2025-12-25,52.0,10.0,90.3496554360276,False
Alpha,tsk-017,Task 017,2025-04-24,2025-05-17,23.0,10.0,78.30739345990621,False
Alpha,tsk-020,Task 020,2025-09-18,2025-09-13,-5.0,0.0,2.5,False
Alpha,tsk-035,Task 035,2025-11-21,2025-12-24,33.0,10.0,83.60176209647892,False
Alpha,tsk-036,Task 036,2025-07-13,2025-09-10,59.0,10.0,92.23529376342752,False
Alpha,tsk-040,Task 040,2025-11-03,2025-10-30,-4.0,1.0,2.0,False
Alpha,tsk-051,Task 051,2025-11-29,2026-01-23,55.0,10.0,91.18658094521702,False
Alpha,tsk-053,Task 053,2025-07-15,2025-08-07,23.0,10.0,78.30739345990621,False
Alpha,tsk-054,Task 054,2025-10-01,2025-10-25,24.0,10.0,78.92790030352131,False
Alpha,tsk-056,Task 056,2025-01-18,2025-04-11,83.0,10.0,97.34977501216585,False
Alpha,tsk-067,Task 067,2025-02-16,2025-02-17,5.0,5.0,31.42857142857143,False
Alpha,tsk-068,Task 068,2025-07-15,2025-08-24,40.0,10.0,86.44743498519074,False
Alpha,tsk-070,Task 070,2025-01-27,2025-03-24,56.0,10.0,91.45561994853719,False
Alpha,tsk-071,Task 071,2025-02-02,2025-02-23,21.0,10.0,76.98479382877721,False
Alpha,tsk-073,Task 073,2025-10-23,2025-10-25,2.0,2.0,18.57142857142857,False
Alpha,tsk-007,Task 007,2025-05-27,2025-08-22,134.0,10.0,100.0,False
Alpha,tsk-013,Task 013,2025-04-02,2025-05-28,56.0,10.0,91.45561994853719,False
Alpha,tsk-014,Task 014,2025-03-04,2025-04-11,38.0,10.0,85.68726124592746,False
Alpha,tsk-016,Task 016,2025-11-03,2025-12-25,52.0,10.0,90.3496554360276,False
Alpha,tsk-017,Task 017,2025-04-24,2025-05-17,23.0,10.0,78.30739345990621,False
Alpha,tsk-020,Task 020,2025-09-18,2025-09-13,-5.0,0.0,2.5,False
Alpha,tsk-035,Task 035,2025-11-21,2025-12-24,33.0,10.0,83.60176209647892,False
Alpha,tsk-036,Task 036,2025-07-13,2025-09-10,59.0,10.0,92.23529376342752,False
Alpha,tsk-040,Task 040,2025-11-03,2025-10-30,-4.0,1.0,2.0,False
Alpha,tsk-051,Task 051,2025-11-29,2026-01-23,55.0,10.0,91.18658094521702,False
Alpha,tsk-053,Task 053,2025-07-15,2025-08-07,23.0,10.0,78.30739345990621,False
Alpha,tsk-054,Task 054,2025-10-01,2025-10-25,24.0,10.0,78.92790030352131,False
Alpha,tsk-056,Task 056,2025-01-18,2025-04-11,83.0,10.0,97.34977501216585,False
Alpha,tsk-067,Task 067,2025-02-16,2025-02-17,5.0,5.0,31.42857142857143,False
Alpha,tsk-068,Task 068,2025-07-15,2025-08-24,40.0,10.0,86.44743498519074,False
Alpha,tsk-070,Task 070,2025-01-27,2025-03-24,56.0,10.0,91.45561994853719,False
Alpha,tsk-071,Task 071,2025-02-02,2025-02-23,21.0,10.0,76.98479382877721,False
Alpha,tsk-073,Task 073,2025-10-23,2025-10-25,2.0,2.0,18.57142857142857,False
Alpha,tsk-007,Task 007,2025-05-27,2025-07-22,134.0,10.0,100.0,False
Alpha,tsk-013,Task 013,2025-04-02,2025-05-21,56.0,10.0,91.45561994853719,False
Alpha,tsk-014,Task 014,2025-03-04,2025-04-11,38.0,10.0,85.68726124592746,False
Alpha,tsk-016,Task 016,2025-11-03,2025-12-25,52.0,10.0,90.3496554360276,False
Alpha,tsk-017,Task 017,2025-04-24,2025-05-15,23.0,10.0,78.30739345990621,False
Alpha,tsk-020,Task 020,2025-09-18,2025-09-13,-5.0,0.0,2.5,False
Alpha,tsk-035,Task 035,2025-11-21,2025-12-15,33.0,10.0,83.60176209647892,False
Alpha,tsk-036,Task 036,2025-07-13,2025-08-02,59.0,10.0,92.23529376342752,False
Alpha,tsk-040,Task 040,2025-11-03,2025-10-30,-4.0,1.0,2.0,False
Alpha,tsk-051,Task 051,2025-11-29,2026-01-20,55.0,10.0,91.18658094521702,False
Alpha,tsk-053,Task 053,2025-07-15,2025-08-07,23.0,10.0,78.30739345990621,False
Alpha,tsk-054,Task 054,2025-10-01,2025-10-25,24.0,10.0,78.92790030352131,False
Alpha,tsk-056,Task 056,2025-01-18,2025-02-01,83.0,10.0,97.34977501216585,False
Alpha,tsk-067,Task 067,2025-02-16,2025-02-16,5.0,5.0,31.42857142857143,False
Alpha,tsk-068,Task 068,2025-07-15,2025-08-24,40.0,10.0,86.44743498519074,False
Alpha,tsk-070,Task 070,2025-01-27,2025-03-24,56.0,10.0,91.45561994853719,False
Alpha,tsk-071,Task 071,2025-02-02,2025-02-23,21.0,10.0,76.98479382877721,False
Alpha,tsk-073,Task 073,2025-10-23,2025-10-25,2.0,2.0,18.57142857142857,False
Alpha,tsk-007,Task 007,2025-05-27,2025-07-22,134.0,10.0,100.0,False
Alpha,tsk-013,Task 013,2025-04-02,NA,56.0,10.0,91.45561994853719,False
Alpha,tsk-014,Task 014,2025-03-04,2025-04-11,38.0,10.0,85.68726124592746,False
Alpha,tsk-016,Task 016,2025-11-03,NA,52.0,10.0,90.3496554360276,False
Alpha,tsk-017,Task 017,2025-04-24,NA,23.0,10.0,78.30739345990621,False
Alpha,tsk-020,Task 020,2025-09-18,NA,-5.0,0.0,2.5,False
Alpha,tsk-035,Task 035,2025-11-21,NA,33.0,10.0,83.60176209647892,False
Alpha,tsk-036,Task 036,2025-07-13,NA,59.0,10.0,92.23529376342752,False
Alpha,tsk-040,Task 040,2025-11-03,NA,-4.0,1.0,2.0,False
Alpha,tsk-051,Task 051,2025-11-29,NA,55.0,10.0,91.18658094521702,False
Alpha,tsk-053,Task 053,2025-07-15,NA,23.0,10.0,78.30739345990621,False
Alpha,tsk-054,Task 054,2025-10-01,2025-10-25,24.0,10.0,78.92790030352131,False
Alpha,tsk-056,Task 056,2025-01-18,NA,83.0,10.0,97.34977501216585,False
Alpha,tsk-067,Task 067,2025-02-16,NA,5.0,5.0,31.42857142857143,False
Alpha,tsk-068,Task 068,2025-07-15,NA,40.0,10.0,86.44743498519074,False
Alpha,tsk-070,Task 070,2025-01-27,NA,56.0,10.0,91.45561994853719,False
Alpha,tsk-071,Task 071,2025-02-02,NA,21.0,10.0,76.98479382877721,False
Alpha,tsk-073,Task 073,2025-10-23,NA,2.0,2.0,18.57142857142857,False
Alpha,tsk-007,Task 007,2025-05-27,2025-07-22,134.0,10.0,100.0,False
Alpha,tsk-013,Task 013,2025-04-02,2025-05-21,56.0,10.0,91.45561994853719,False
Alpha,tsk-014,Task 014,2025-03-04,2025-04-11,38.0,10.0,85.68726124592746,False
Alpha,tsk-016,Task 016,2025-11-03,NA,52.0,10.0,90.3496554360276,False
Alpha,tsk-017,Task 017,2025-04-24,NA,23.0,10.0,78.30739345990621,False
Alpha,tsk-020,Task 020,2025-09-18,2025-09-13,-5.0,0.0,2.5,False
Alpha,tsk-035,Task 035,2025-11-21,NA,33.0,10.0,83.60176209647892,False
Alpha,tsk-036,Task 036,2025-07-13,2025-08-02,59.0,10.0,92.23529376342752,False
Alpha,tsk-040,Task 040,2025-11-03,NA,-4.0,1.0,2.0,False
Alpha,tsk-051,Task 051,2025-11-29,2026-01-20,55.0,10.0,91.18658094521702,False
Alpha,tsk-053,Task 053,2025-07-15,2025-08-07,23.0,10.0,78.30739345990621,False
Alpha,tsk-054,Task 054,2025-10-01,2025-10-25,24.0,10.0,78.92790030352131,False
Alpha,tsk-056,Task 056,2025-01-18,2025-02-01,83.0,10.0,97.34977501216585,False
Alpha,tsk-067,Task 067,2025-02-16,NA,5.0,5.0,31.42857142857143,False
Alpha,tsk-068,Task 068,2025-07-15,NA,40.0,10.0,86.44743498519074,False
Alpha,tsk-070,Task 070,2025-01-27,2025-03-24,56.0,10.0,91.45561994853719,False
Alpha,tsk-071,Task 071,2025-02-02,2025-02-23,21.0,10.0,76.98479382877721,False
Alpha,tsk-073,Task 073,2025-10-23,2025-10-25,2.0,2.0,18.57142857142857,False
Alpha,tsk-007,Task 007,2025-05-27,2025-10-08,134.0,10.0,100.0,False
Alpha,tsk-013,Task 013,2025-04-02,2025-05-28,56.0,10.0,91.45561994853719,False
Alpha,tsk-014,Task 014,2025-03-04,2025-04-11,38.0,10.0,85.68726124592746,False
Alpha,tsk-016,Task 016,2025-11-03,2025-12-25,52.0,10.0,90.3496554360276,False
Alpha,tsk-017,Task 017,2025-04-24,2025-05-17,23.0,10.0,78.30739345990621,False
Alpha,tsk-020,Task 020,2025-09-18,2025-09-13,-5.0,0.0,2.5,False
Alpha,tsk-035,Task 035,2025-11-21,2025-12-24,33.0,10.0,83.60176209647892,False
Alpha,tsk-036,Task 036,2025-07-13,2025-09-10,59.0,10.0,92.23529376342752,False
Alpha,tsk-040,Task 040,2025-11-03,2025-10-30,-4.0,1.0,2.0,False
Alpha,tsk-051,Task 051,2025-11-29,2026-01-23,55.0,10.0,91.18658094521702,False
Alpha,tsk-053,Task 053,2025-07-15,2025-08-07,23.0,10.0,78.30739345990621,False
Alpha,tsk-054,Task 054,2025-10-01,2025-10-25,24.0,10.0,78.92790030352131,False
Alpha,tsk-056,Task 056,2025-01-18,2025-04-11,83.0,10.0,97.34977501216585,False
Alpha,tsk-067,Task 067,2025-02-16,2025-02-21,5.0,5.0,31.42857142857143,False
Alpha,tsk-068,Task 068,2025-07-15,2025-08-24,40.0,10.0,86.44743498519074,False
Alpha,tsk-070,Task 070,2025-01-27,2025-03-24,56.0,10.0,91.45561994853719,False
Alpha,tsk-071,Task 071,2025-02-02,2025-02-23,21.0,10.0,76.98479382877721,False
Alpha,tsk-073,Task 073,2025-10-23,2025-10-25,2.0,2.0,18.57142857142857,False
Alpha,tsk-007,Task 007,2025-05-27,NA,134.0,10.0,100.0,False
Alpha,tsk-013,Task 013,2025-04-02,NA,56.0,10.0,91.45561994853719,False
Alpha,tsk-014,Task 014,2025-03-04,NA,38.0,10.0,85.68726124592746,False
Alpha,tsk-016,Task 016,2025-11-03,NA,52.0,10.0,90.3496554360276,False
Alpha,tsk-017,Task 017,2025-04-24,NA,23.0,10.0,78.30739345990621,False
Alpha,tsk-020,Task 020,2025-09-18,NA,-5.0,0.0,2.5,False
Alpha,tsk-035,Task 035,2025-11-21,NA,33.0,10.0,83.60176209647892,False
Alpha,tsk-036,Task 036,2025-07-13,NA,59.0,10.0,92.23529376342752,False
Alpha,tsk-040,Task 040,2025-11-03,NA,-4.0,1.0,2.0,False
Alpha,tsk-051,Task 051,2025-11-29,NA,55.0,10.0,91.18658094521702,False
Alpha,tsk-053,Task 053,2025-07-15,NA,23.0,10.0,78.30739345990621,False
Alpha,tsk-054,Task 054,2025-10-01,NA,24.0,10.0,78.92790030352131,False
Alpha,tsk-056,Task 056,2025-01-18,NA,83.0,10.0,97.34977501216585,False
Alpha,tsk-067,Task 067,2025-02-16,NA,5.0,5.0,31.42857142857143,False
Alpha,tsk-068,Task 068,2025-07-15,NA,40.0,10.0,86.44743498519074,False
Alpha,tsk-070,Task 070,2025-01-27,NA,56.0,10.0,91.45561994853719,False
Alpha,tsk-071,Task 071,2025-02-02,NA,21.0,10.0,76.98479382877721,False
Alpha,tsk-073,Task 073,2025-10-23,NA,2.0,2.0,18.57142857142857,False
Alpha,tsk-007,Task 007,2025-05-27,2025-08-22,134.0,10.0,100.0,False
Alpha,tsk-013,Task 013,2025-04-02,2025-05-28,56.0,10.0,91.45561994853719,False
Alpha,tsk-014,Task 014,2025-03-04,2025-04-11,38.0,10.0,85.68726124592746,False
Alpha,tsk-016,Task 016,2025-11-03,2025-12-25,52.0,10.0,90.3496554360276,False
Alpha,tsk-017,Task 017,2025-04-24,2025-05-17,23.0,10.0,78.30739345990621,False
Alpha,tsk-020,Task 020,2025-09-18,2025-09-13,-5.0,0.0,2.5,False
Alpha,tsk-035,Task 035,2025-11-21,2025-12-24,33.0,10.0,83.60176209647892,False
Alpha,tsk-036,Task 036,2025-07-13,2025-09-10,59.0,10.0,92.23529376342752,False
Alpha,tsk-040,Task 040,2025-11-03,2025-10-30,-4.0,1.0,2.0,False
Alpha,tsk-051,Task 051,2025-11-29,2026-01-23,55.0,10.0,91.18658094521702,False
Alpha,tsk-053,Task 053,2025-07-15,2025-08-07,23.0,10.0,78.30739345990621,False
Alpha,tsk-054,Task 054,2025-10-01,2025-10-25,24.0,10.0,78.92790030352131,False
Alpha,tsk-056,Task 056,2025-01-18,2025-04-11,83.0,10.0,97.34977501216585,False
Alpha,tsk-067,Task 067,2025-02-16,2025-02-17,5.0,5.0,31.42857142857143,False
Alpha,tsk-068,Task 068,2025-07-15,2025-08-24,40.0,10.0,86.44743498519074,False
Alpha,tsk-070,Task 070,2025-01-27,2025-03-24,56.0,10.0,91.45561994853719,False
Alpha,tsk-071,Task 071,2025-02-02,2025-02-23,21.0,10.0,76.98479382877721,False
Alpha,tsk-073,Task 073,2025-10-23,2025-10-25,2.0,2.0,18.57142857142857,False
