project_name,task_id,task_name,baseline_end_date,actual_finish,slip_days,severity_score,deviation_percentage,no_milestones
Gamma,tsk-041,Task 041,2025-08-24,2025-09-08,65.0,10.0,93.68403774396539,False
Gamma,tsk-042,Task 042,2025-10-20,2025-11-12,23.0,10.0,78.30739345990621,False
Gamma,tsk-055,Task 055,2025-11-01,NA,56.0,10.0,91.45561994853719,False
Gamma,tsk-062,Task 062,2025-07-16,2025-08-03,25.0,10.0,79.52406717897863,False
Gamma,tsk-063,Task 063,2025-10-30,NA,66.0,10.0,93.91261809452891,False
Gamma,tsk-064,Task 064,2025-03-26,NA,67.0,10.0,94.13781194471827,False
Gamma,tsk-073,Task 073,2024-12-21,2025-02-11,146.0,10.0,100.0,False
Gamma,tsk-006,Task 006,2025-03-19,2025-04-19,31.0,10.0,82.6802492411967,False
Gamma,tsk-010,Task 010,2025-01-16,2025-01-29,13.0,10.0,70.11448124873831,False
Gamma,tsk-011,Task 011,2024-11-20,2024-12-17,27.0,10.0,80.65053109697766,False
Gamma,tsk-015,Task 015,2025-07-27,2025-09-07,42.0,10.0,87.17139594528552,False
Gamma,tsk-023,Task 023,2025-02-03,2025-04-06,62.0,10.0,92.97691923087535,False
Gamma,tsk-024,Task 024,2025-05-11,2025-06-01,21.0,10.0,76.98479382877721,False
Gamma,tsk-027,Task 027,2025-10-04,2025-12-03,60.0,10.0,92.48654422537683,False
Gamma,tsk-032,Task 032,2025-10-13,2025-12-29,77.0,10.0,96.2233110941668,False
Gamma,tsk-039,Task 039,2025-07-04,2025-07-30,26.0,10.0,80.09773174556454,False
Gamma,tsk-041,Task 041,2025-08-24,2025-10-28,65.0,10.0,93.68403774396539,False
Gamma,tsk-042,Task 042,2025-10-20,2025-11-12,23.0,10.0,78.30739345990621,False
Gamma,tsk-055,Task 055,2025-11-01,2025-12-27,56.0,10.0,91.45561994853719,False
Gamma,tsk-062,Task 062,2025-07-16,2025-08-10,25.0,10.0,79.52406717897863,False
Gamma,tsk-063,Task 063,2025-10-30,2026-01-04,66.0,10.0,93.91261809452891,False
Gamma,tsk-064,Task 064,2025-03-26,2025-06-01,67.0,10.0,94.13781194471827,False
Gamma,tsk-073,Task 073,2024-12-21,2025-02-11,146.0,10.0,100.0,False
Gamma,tsk-006,Task 006,2025-03-19,2025-04-19,31.0,10.0,82.6802492411967,False
Gamma,tsk-010,Task 010,2025-01-16,2025-01-29,13.0,10.0,70.11448124873831,False
Gamma,tsk-011,Task 011,2024-11-20,2024-12-17,27.0,10.0,80.65053109697766,False
Gamma,tsk-015,Task 015,2025-07-27,2025-09-07,42.0,10.0,87.17139594528552,False
Gamma,tsk-023,Task 023,2025-02-03,2025-03-28,62.0,10.0,92.97691923087535,False
Gamma,tsk-024,Task 024,2025-05-11,NA,21.0,10.0,76.98479382877721,False
Gamma,tsk-027,Task 027,2025-10-04,2025-12-03,60.0,10.0,92.48654422537683,False
Gamma,tsk-032,Task 032,2025-10-13,2025-12-29,77.0,10.0,96.2233110941668,False
Gamma,tsk-039,Task 039,2025-07-04,2025-07-30,26.0,10.0,80.09773174556454,False
Gamma,tsk-041,Task 041,2025-08-24,2025-09-08,65.0,10.0,93.68403774396539,False
Gamma,tsk-042,Task 042,2025-10-20,2025-11-12,23.0,10.0,78.30739345990621,False
Gamma,tsk-055,Task 055,2025-11-01,NA,56.0,10.0,91.45561994853719,False
Gamma,tsk-062,Task 062,2025-07-16,2025-08-03,25.0,10.0,79.52406717897863,False
Gamma,tsk-063,Task 063,2025-10-30,2025-12-27,66.0,10.0,93.91261809452891,False
Gamma,tsk-064,Task 064,2025-03-26,2025-06-01,67.0,10.0,94.13781194471827,False
Gamma,tsk-073,Task 073,2024-12-21,2025-02-11,146.0,10.0,100.0,False
Gamma,tsk-006,Task 006,2025-03-19,2025-04-19,31.0,10.0,82.6802492411967,False
Gamma,tsk-010,Task 010,2025-01-16,2025-01-29,13.0,10.0,70.11448124873831,False
Gamma,tsk-011,Task 011,2024-11-20,2024-12-17,27.0,10.0,80.65053109697766,False
Gamma,tsk-015,Task 015,2025-07-27,2025-09-07,42.0,10.0,87.17139594528552,False
Gamma,tsk-023,Task 023,2025-02-03,2025-04-06,62.0,10.0,92.97691923087535,False
Gamma,tsk-024,Task 024,2025-05-11,2025-06-01,21.0,10.0,76.98479382877721,False
Gamma,tsk-027,Task 027,2025-10-04,2025-12-03,60.0,10.0,92.48654422537683,False
Gamma,tsk-032,Task 032,2025-10-13,2025-12-29,77.0,10.0,96.2233110941668,False
Gamma,tsk-039,Task 039,2025-07-04,2025-07-30,26.0,10.0,80.09773174556454,False
Gamma,tsk-041,Task 041,2025-08-24,2025-10-28,65.0,10.0,93.68403774396539,False
Gamma,tsk-042,Task 042,2025-10-20,2025-11-12,23.0,10.0,78.30739345990621,False
Gamma,tsk-055,Task 055,2025-11-01,2025-12-27,56.0,10.0,91.45561994853719,False
Gamma,tsk-062,Task 062,2025-07-16,2025-08-10,25.0,10.0,79.52406717897863,False
Gamma,tsk-063,Task 063,2025-10-30,2026-01-04,66.0,10.0,93.91261809452891,False
Gamma,tsk-064,Task 064,2025-03-26,2025-06-01,67.0,10.0,94.13781194471827,False
Gamma,tsk-073,Task 073,2024-12-21,2025-02-19,146.0,10.0,100.0,False
Gamma,tsk-006,Task 006,2025-03-19,NA,31.0,10.0,82.6802492411967,False
Gamma,tsk-010,Task 010,2025-01-16,2025-01-26,13.0,10.0,70.11448124873831,False
Gamma,tsk-011,Task 011,2024-11-20,NA,27.0,10.0,80.65053109697766,False
Gamma,tsk-015,Task 015,2025-07-27,2025-09-07,42.0,10.0,87.17139594528552,False
Gamma,tsk-023,Task 023,2025-02-03,2025-03-28,62.0,10.0,92.97691923087535,False
Gamma,tsk-024,Task 024,2025-05-11,NA,21.0,10.0,76.98479382877721,False
Gamma,tsk-027,Task 027,2025-10-04,2025-12-03,60.0,10.0,92.48654422537683,False
Gamma,tsk-032,Task 032,2025-10-13,2025-12-29,77.0,10.0,96.2233110941668,False
Gamma,tsk-039,Task 039,2025-07-04,NA,26.0,10.0,80.09773174556454,False
Gamma,tsk-041,Task 041,2025-08-24,2025-09-15,65.0,10.0,93.68403774396539,False
Gamma,tsk-042,Task 042,2025-10-20,NA,23.0,10.0,78.30739345990621,False
Gamma,tsk-055,Task 055,2025-11-01,NA,56.0,10.0,91.45561994853719,False
Gamma,tsk-062,Task 062,2025-07-16,2025-08-03,25.0,10.0,79.52406717897863,False
Gamma,tsk-063,Task 063,2025-10-30,NA,66.0,10.0,93.91261809452891,False
Gamma,tsk-064,Task 064,2025-03-26,NA,67.0,10.0,94.13781194471827,False
Gamma,tsk-073,Task 073,2024-12-21,2025-02-11,146.0,10.0,100.0,False
Gamma,tsk-006,Task 006,2025-03-19,NA,31.0,10.0,82.6802492411967,False
Gamma,tsk-010,Task 010,2025-01-16,2025-01-26,13.0,10.0,70.11448124873831,False
Gamma,tsk-011,Task 011,2024-11-20,NA,27.0,10.0,80.65053109697766,False
Gamma,tsk-015,Task 015,2025-07-27,2025-09-07,42.0,10.0,87.17139594528552,False
Gamma,tsk-023,Task 023,2025-02-03,2025-03-28,62.0,10.0,92.97691923087535,False
Gamma,tsk-024,Task 024,2025-05-11,NA,21.0,10.0,76.98479382877721,False
Gamma,tsk-027,Task 027,2025-10-04,2025-10-27,60.0,10.0,92.48654422537683,False
Gamma,tsk-032,Task 032,2025-10-13,NA,77.0,10.0,96.2233110941668,False
Gamma,tsk-039,Task 039,2025-07-04,NA,26.0,10.0,80.09773174556454,False
Gamma,tsk-041,Task 041,2025-08-24,2025-09-15,65.0,10.0,93.68403774396539,False
Gamma,tsk-042,Task 042,2025-10-20,NA,23.0,10.0,78.30739345990621,False
Gamma,tsk-055,Task 055,2025-11-01,NA,56.0,10.0,91.45561994853719,False
Gamma,tsk-062,Task 062,2025-07-16,2025-08-03,25.0,10.0,79.52406717897863,False
Gamma,tsk-063,Task 063,2025-10-30,NA,66.0,10.0,93.91261809452891,False
Gamma,tsk-064,Task 064,2025-03-26,NA,67.0,10.0,94.13781194471827,False
Gamma,tsk-073,Task 073,2024-12-21,NA,146.0,10.0,100.0,False
Gamma,tsk-006,Task 006,2025-03-19,2025-04-19,31.0,10.0,82.6802492411967,False
Gamma,tsk-010,Task 010,2025-01-16,2025-01-29,13.0,10.0,70.11448124873831,False
Gamma,tsk-011,Task 011,2024-11-20,2024-12-17,27.0,10.0,80.65053109697766,False
Gamma,tsk-015,Task 015,2025-07-27,2025-09-07,42.0,10.0,87.17139594528552,False
Gamma,tsk-023,Task 023,2025-02-03,2025-04-06,62.0,10.0,92.97691923087535,False
Gamma,tsk-024,Task 024,2025-05-11,2025-06-01,21.0,10.0,76.98479382877721,False
Gamma,tsk-027,Task 027,2025-10-04,2025-12-03,60.0,10.0,92.48654422537683,False
Gamma,tsk-032,Task 032,2025-10-13,2025-12-29,77.0,10.0,96.2233110941668,False
Gamma,tsk-039,Task 039,2025-07-04,2025-07-30,26.0,10.0,80.09773174556454,False
Gamma,tsk-041,Task 041,2025-08-24,2025-10-28,65.0,10.0,93.68403774396539,False
Gamma,tsk-042,Task 042,2025-10-20,2025-11-12,23.0,10.0,78.30739345990621,False
Gamma,tsk-055,Task 055,2025-11-01,2025-12-27,56.0,10.0,91.45561994853719,False
Gamma,tsk-062,Task 062,2025-07-16,2025-08-10,25.0,10.0,79.52406717897863,False
Gamma,tsk-063,Task 063,2025-10-30,2026-01-04,66.0,10.0,93.91261809452891,False
Gamma,tsk-064,Task 064,2025-03-26,2025-06-01,67.0,10.0,94.13781194471827,False
Gamma,tsk-073,Task 073,2024-12-21,2025-03-14,146.0,10.0,100.0,False
Gamma,tsk-006,Task 006,2025-03-19,2025-04-19,31.0,10.0,82.6802492411967,False
Gamma,tsk-010,Task 010,2025-01-16,2025-01-29,13.0,10.0,70.11448124873831,False
Gamma,tsk-011,Task 011,2024-11-20,2024-12-17,27.0,10.0,80.65053109697766,False
Gamma,tsk-015,Task 015,2025-07-27,2025-09-07,42.0,10.0,87.17139594528552,False
Gamma,tsk-023,Task 023,2025-02-03,2025-04-06,62.0,10.0,92.97691923087535,False
Gamma,tsk-024,Task 024,2025-05-11,2025-06-01,21.0,10.0,76.98479382877721,False
Gamma,tsk-027,Task 027,2025-10-04,2025-12-03,60.0,10.0,92.48654422537683,False
Gamma,tsk-032,Task 032,2025-10-13,2025-12-29,77.0,10.0,96.2233110941668,False
Gamma,tsk-039,Task 039,2025-07-04,2025-07-30,26.0,10.0,80.09773174556454,False
Gamma,tsk-041,Task 041,2025-08-24,2025-10-28,65.0,10.0,93.68403774396539,False
Gamma,tsk-042,Task 042,2025-10-20,2025-11-12,23.0,10.0,78.30739345990621,False
Gamma,tsk-055,Task 055,2025-11-01,2025-12-27,56.0,10.0,91.45561994853719,False
Gamma,tsk-062,Task 062,2025-07-16,2025-08-10,25.0,10.0,79.52406717897863,False
Gamma,tsk-063,Task 063,2025-10-30,2026-01-04,66.0,10.0,93.91261809452891,False
Gamma,tsk-064,Task 064,2025-03-26,2025-06-01,67.0,10.0,94.13781194471827,False
Gamma,tsk-073,Task 073,2024-12-21,2025-05-16,146.0,10.0,100.0,False
Gamma,tsk-006,Task 006,2025-03-19,NA,31.0,10.0,82.6802492411967,False
Gamma,tsk-010,Task 010,2025-01-16,NA,13.0,10.0,70.11448124873831,False
Gamma,tsk-011,Task 011,2024-11-20,NA,27.0,10.0,80.65053109697766,False
Gamma,tsk-015,Task 015,2025-07-27,NA,42.0,10.0,87.17139594528552,False
Gamma,tsk-023,Task 023,2025-02-03,NA,62.0,10.0,92.97691923087535,False
Gamma,tsk-024,Task 024,2025-05-11,NA,21.0,10.0,76.98479382877721,False
Gamma,tsk-027,Task 027,2025-10-04,NA,60.0,10.0,92.48654422537683,False
Gamma,tsk-032,Task 032,2025-10-13,NA,77.0,10.0,96.2233110941668,False
Gamma,tsk-039,Task 039,2025-07-04,NA,26.0,10.0,80.09773174556454,False
Gamma,tsk-041,Task 041,2025-08-24,NA,65.0,10.0,93.68403774396539,False
Gamma,tsk-042,Task 042,2025-10-20,NA,23.0,10.0,78.30739345990621,False
Gamma,tsk-055,Task 055,2025-11-01,NA,56.0,10.0,91.45561994853719,False
Gamma,tsk-062,Task 062,2025-07-16,NA,25.0,10.0,79.52406717897863,False
Gamma,tsk-063,Task 063,2025-10-30,NA,66.0,10.0,93.91261809452891,False
Gamma,tsk-064,Task 064,2025-03-26,NA,67.0,10.0,94.13781194471827,False
Gamma,tsk-073,Task 073,2024-12-21,NA,146.0,10.0,100.0,False
Gamma,tsk-006,Task 006,NA,NA,31.0,10.0,82.6802492411967,False
Gamma,tsk-010,Task 010,NA,NA,13.0,10.0,70.11448124873831,False
Gamma,tsk-011,Task 011,NA,NA,27.0,10.0,80.65053109697766,False
Gamma,tsk-015,Task 015,NA,NA,42.0,10.0,87.17139594528552,False
Gamma,tsk-023,Task 023,NA,NA,62.0,10.0,92.97691923087535,False
Gamma,tsk-024,Task 024,NA,NA,21.0,10.0,76.98479382877721,False
Gamma,tsk-027,Task 027,NA,NA,60.0,10.0,92.48654422537683,False
Gamma,tsk-032,Task 032,NA,NA,77.0,10.0,96.2233110941668,False
Gamma,tsk-039,Task 039,NA,NA,26.0,10.0,80.09773174556454,False
Gamma,tsk-041,Task 041,NA,NA,65.0,10.0,93.68403774396539,False
Gamma,tsk-042,Task 042,NA,NA,23.0,10.0,78.30739345990621,False
Gamma,tsk-055,Task 055,NA,NA,56.0,10.0,91.45561994853719,False
Gamma,tsk-062,Task 062,NA,NA,25.0,10.0,79.52406717897863,False
Gamma,tsk-063,Task 063,NA,NA,66.0,10.0,93.91261809452891,False
Gamma,tsk-064,Task 064,NA,NA,67.0,10.0,94.13781194471827,False
Gamma,tsk-073,Task 073,NA,NA,146.0,10.0,100.0,False
Gamma,tsk-006,Task 006,2025-03-19,2025-04-19,31.0,10.0,82.6802492411967,False
Gamma,tsk-010,Task 010,2025-01-16,2025-01-29,13.0,10.0,70.11448124873831,False
Gamma,tsk-011,Task 011,2024-11-20,2024-12-17,27.0,10.0,80.65053109697766,False
Gamma,tsk-015,Task 015,2025-07-27,2025-09-07,42.0,10.0,87.17139594528552,False
Gamma,tsk-023,Task 023,2025-02-03,2025-03-28,62.0,10.0,92.97691923087535,False
Gamma,tsk-024,Task 024,2025-05-11,2025-06-01,21.0,10.0,76.98479382877721,False
Gamma,tsk-027,Task 027,2025-10-04,2025-12-03,60.0,10.0,92.48654422537683,False
Gamma,tsk-032,Task 032,2025-10-13,2025-12-29,77.0,10.0,96.2233110941668,False
Gamma,tsk-039,Task 039,2025-07-04,2025-07-30,26.0,10.0,80.09773174556454,False
Gamma,tsk-041,Task 041,2025-08-24,2025-10-28,65.0,10.0,93.68403774396539,False
Gamma,tsk-042,Task 042,2025-10-20,2025-11-12,23.0,10.0,78.30739345990621,False
Gamma,tsk-055,Task 055,2025-11-01,2025-12-27,56.0,10.0,91.45561994853719,False
Gamma,tsk-062,Task 062,2025-07-16,2025-08-10,25.0,10.0,79.52406717897863,False
Gamma,tsk-063,Task 063,2025-10-30,2026-01-04,66.0,10.0,93.91261809452891,False
Gamma,tsk-064,Task 064,2025-03-26,2025-06-01,67.0,10.0,94.13781194471827,False
Gamma,tsk-073,Task 073,2024-12-21,2025-02-11,146.0,10.0,100.0,False
Gamma,tsk-006,Task 006,2025-03-19,2025-04-19,31.0,10.0,82.6802492411967,False
Gamma,tsk-010,Task 010,2025-01-16,2025-01-29,13.0,10.0,70.11448124873831,False
Gamma,tsk-011,Task 011,2024-11-20,2024-12-17,27.0,10.0,80.65053109697766,False
Gamma,tsk-015,Task 015,2025-07-27,2025-09-07,42.0,10.0,87.17139594528552,False
Gamma,tsk-023,Task 023,2025-02-03,2025-03-28,62.0,10.0,92.97691923087535,False
Gamma,tsk-024,Task 024,2025-05-11,2025-06-01,21.0,10.0,76.98479382877721,False
Gamma,tsk-027,Task 027,2025-10-04,2025-12-03,60.0,10.0,92.48654422537683,False
Gamma,tsk-032,Task 032,2025-10-13,2025-12-29,77.0,10.0,96.2233110941668,False
Gamma,tsk-039,Task 039,2025-07-04,2025-07-30,26.0,10.0,80.09773174556454,False
Gamma,tsk-041,Task 041,2025-08-24,2025-09-28,65.0,10.0,93.68403774396539,False
Gamma,tsk-042,Task 042,2025-10-20,2025-11-12,23.0,10.0,78.30739345990621,False
Gamma,tsk-055,Task 055,2025-11-01,2025-12-27,56.0,10.0,91.45561994853719,False
Gamma,tsk-062,Task 062,2025-07-16,2025-08-10,25.0,10.0,79.52406717897863,False
Gamma,tsk-063,Task 063,2025-10-30,2026-01-04,66.0,10.0,93.91261809452891,False
Gamma,tsk-064,Task 064,2025-03-26,2025-06-01,67.0,10.0,94.13781194471827,False
Gamma,tsk-073,Task 073,2024-12-21,2025-02-11,146.0,10.0,100.0,False
